"Gene","Module"
"SH3BP1","darkgreen"
"WDR44","white"
"AE000662.92","thistle2"
"METTL18","greenyellow"
"FIGNL1","lightgreen"
"CORO7","paleturquoise"
"LPCAT1","darkgrey"
"FOXD4L2","honeydew1"
"AC099552.4","navajowhite2"
"ASPG","yellow"
"LAMA4","purple"
"POU3F1","pink"
"SLFN14","grey"
"SPDYE3","grey"
"ADAL","green"
"TICAM1","turquoise"
"CENPB","turquoise"
"CD46","red"
"SERPINI2","blue"
"CARD16","darkgrey"
"TFPI","green"
"MLLT10","pink"
"RP5-1052I5.2","grey"
"KIAA1211","purple"
"IPO8","yellow"
"SYNC","plum2"
"IPO7","turquoise"
"MAPK13","brown"
"SPATA7","salmon"
"CCDC160","blue"
"RALGPS1","black"
"ALG2","pink"
"APLP2","skyblue"
"EPSTI1","yellow"
"RGPD8","turquoise"
"CYP7B1","turquoise"
"C17orf98","pink"
"GPR84","darkorange"
"MGC4771","turquoise"
"ALG14","skyblue3"
"UMODL1","blue"
"CDC20","salmon"
"AL353698.1","navajowhite2"
"ZSCAN1","turquoise"
"PDZD11","purple"
"RPL36A","greenyellow"
"SOX17","turquoise"
"ZSWIM7","lightsteelblue1"
"SMC3","black"
"DUSP13","grey"
"ELL3","blue"
"MLLT1","black"
"PIK3R3","brown"
"PAIP2","darkgreen"
"TXNRD3","salmon"
"CHRNA10","grey"
"DGUOK","darkred"
"BMP8A","turquoise"
"ORM2","tan"
"PNLIPRP2","navajowhite2"
"TRMT61A","brown"
"TYW5","grey"
"NIPA1","saddlebrown"
"MTSS1L","turquoise"
"IGSF9","turquoise"
"AAED1","turquoise"
"FAM203A","red"
"SPCS2","tan"
"IRS1","turquoise"
"ZBTB16","midnightblue"
"PIH1D2","grey"
"HERC1","green"
"VN1R1","pink"
"THAP10","blue"
"SORL1","turquoise"
"PSG4","turquoise"
"BAG4","purple"
"ZNF436","greenyellow"
"DOCK9","lightcyan"
"COL4A2","darkmagenta"
"HBS1L","darkolivegreen"
"PMP22","red"
"NRSN2","green"
"RIMBP2","pink"
"MAGEB2","tan"
"PTPLB","midnightblue"
"NUTM2F","green"
"MYH11","lightgreen"
"LAD1","violet"
"ANKRD46","black"
"ALK","blue"
"BFSP1","darkgreen"
